date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:14	24/24	U--M--	200	updated ('OK')	text/plain	etag:%2266bb5183-18%22	https://shardaonline.ac.in/robots.txt		(from )
17:30:14	2217/2217	U--MCZ	200	updated ('OK')	text/html	etag:W/%2266bb5183-8a9%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/index.html	(from )
17:30:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Aug%202024%2012:00:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/shardhaonline/www.googletagmanager.com/gtm.05445.delayed	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:15	411584/411584	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bb5183-647c0%22	https://shardaonline.ac.in/js/chunk-vendors.1e1bbc56.js	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/js/chunk-vendors.1e1bbc56.js	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:15	1025595/1025595	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bb5183-fa63b%22	https://shardaonline.ac.in/js/app.95816dc5.js	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/js/app.95816dc5.js	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:15	70449/70449	---MCZ	200	added ('OK')	text/css	etag:W/%2266bb5183-11331%22	https://shardaonline.ac.in/css/app.73c9ea76.css	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/css/app.73c9ea76.css	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:16	2389/2389	U--MCZ	200	updated ('OK')	image/png	etag:W/%2266bb5183-955%22	https://shardaonline.ac.in/img/icons/favicon-32x32.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/favicon-32x32.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:16	780/780	U--MCZ	200	updated ('OK')	image/png	etag:W/%2266bb5183-30c%22	https://shardaonline.ac.in/img/icons/favicon-16x16.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/favicon-16x16.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
17:30:16	162/162	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Aug%202024%2012:00:15%20GMT	https://shardaonline.ac.in/img/icons/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/apple-touch-icon-152x152.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
